temp,atemp,hum,season,weathersit,hr,cnt
0.36,0.3485,0.62,4,1,16,250
0.54,0.5152,0.64,2,1,4,18
0.62,0.6212,0.53,2,1,23,107
0.36,0.3485,0.87,2,2,8,145
0.76,0.697,0.55,3,1,18,857
0.46,0.4545,0.72,4,1,0,45
0.7,0.6515,0.54,3,1,22,216
0.26,0.2727,0.93,1,1,9,40
0.54,0.5152,1.0,4,2,4,7
0.82,0.697,0.24,2,1,16,534
0.66,0.6061,0.78,3,1,5,21
0.44,0.4394,1.0,1,2,18,280
0.26,0.2576,0.6,1,1,7,279
0.44,0.4394,0.38,1,1,14,138
0.58,0.5455,0.78,2,1,22,83
0.28,0.2727,0.52,1,1,15,65
0.22,0.2273,0.8,1,1,5,16
0.76,0.6667,0.37,3,1,14,302
0.4,0.4091,0.3,1,2,14,161
0.66,0.6061,0.83,3,3,7,230
0.38,0.3939,0.94,4,1,8,662
0.68,0.6364,0.61,2,2,8,477
0.56,0.5303,0.73,4,1,8,838
0.72,0.6667,0.54,3,1,14,275
0.52,0.5,0.55,1,1,21,124
0.4,0.4091,0.35,1,1,20,47
0.6,0.6061,0.64,2,2,11,217
0.62,0.6212,0.41,3,1,23,131
0.66,0.6212,0.74,3,2,11,192
0.34,0.3636,0.49,2,1,22,55
0.6,0.6212,0.53,2,1,23,183
0.46,0.4545,0.72,3,1,3,28
0.82,0.7424,0.41,3,1,14,349
0.34,0.3333,0.93,1,1,13,75
0.6,0.6212,0.33,4,1,16,691
0.46,0.4545,0.41,1,1,15,55
0.42,0.4242,0.44,1,1,15,182
0.42,0.4242,0.77,2,1,5,23
0.64,0.5758,0.89,3,2,19,292
0.24,0.2273,0.93,2,3,3,1
0.48,0.4697,1.0,2,2,5,34
0.62,0.5758,0.83,3,2,6,151
0.6,0.5909,0.73,2,1,6,178
0.8,0.7576,0.55,3,1,12,694
0.62,0.6061,0.61,3,1,5,14
0.46,0.4545,0.88,4,1,0,129
0.58,0.5455,0.24,2,1,16,269
0.54,0.5152,0.88,2,3,8,156
0.72,0.6818,0.66,3,1,15,624
0.32,0.303,0.61,2,1,22,55
0.26,0.2727,0.7,1,1,1,43
0.38,0.3939,0.71,4,1,2,5
0.36,0.3485,0.87,1,1,6,91
0.54,0.5152,0.6,1,2,11,204
0.82,0.7727,0.52,3,1,2,61
0.6,0.5455,0.88,3,2,1,130
0.46,0.4545,0.63,1,1,20,180
0.76,0.697,0.55,3,2,20,202
0.64,0.6212,0.57,4,2,13,710
0.52,0.5,0.72,4,2,20,256
0.42,0.4242,0.54,2,1,2,7
0.16,0.1212,0.43,1,1,14,79
0.74,0.697,0.66,3,1,23,91
0.52,0.5,0.88,4,3,10,123
0.88,0.803,0.39,3,1,13,300
0.32,0.3182,0.45,1,1,7,19
0.76,0.6818,0.48,3,1,9,180
0.34,0.3636,0.87,4,1,1,8
0.38,0.3939,0.87,4,2,0,28
0.42,0.4242,0.5,1,2,15,78
0.3,0.3333,0.45,1,1,11,126
0.66,0.6212,0.34,3,1,20,268
0.54,0.5152,0.19,1,1,15,110
0.34,0.3182,0.57,1,1,13,373
0.42,0.4242,0.54,4,1,5,7
0.66,0.6061,0.83,3,2,23,147
0.32,0.3182,0.53,4,1,22,102
0.48,0.4697,0.36,1,1,17,364
0.74,0.697,0.66,3,1,16,628
0.3,0.3182,0.65,4,2,1,21
0.36,0.3636,0.81,4,1,20,116
0.44,0.4394,0.77,2,1,6,182
0.32,0.303,0.87,2,3,20,47
0.14,0.2121,0.93,1,1,3,8
0.72,0.697,0.79,3,3,20,137
0.9,0.7879,0.27,3,1,16,302
0.18,0.197,0.8,1,2,6,16
0.62,0.6212,0.29,1,1,19,162
0.46,0.4545,0.67,2,2,18,263
0.34,0.303,0.49,4,1,18,376
0.28,0.3182,0.75,1,2,1,21
0.64,0.6212,0.41,2,1,12,282
0.32,0.303,0.57,4,1,0,23
0.26,0.2576,0.73,4,1,19,350
0.06,0.1515,0.49,1,1,22,30
0.44,0.4394,0.94,2,3,2,5
0.68,0.6364,0.89,3,2,4,19
0.4,0.4091,0.76,2,2,16,136
0.52,0.5,0.39,1,1,12,273
0.26,0.2727,0.52,1,1,2,2
0.2,0.2121,0.8,1,1,7,256
0.34,0.303,0.93,1,3,19,115
0.18,0.2121,0.74,1,1,20,43
0.34,0.3333,0.49,1,1,10,208
0.5,0.4848,0.31,2,1,18,698
0.6,0.6212,0.4,2,1,21,258
0.74,0.697,0.7,3,2,20,448
0.32,0.303,0.7,2,2,10,100
0.58,0.5455,0.6,2,1,21,261
0.7,0.6515,0.61,2,1,19,522
0.74,0.6515,0.28,2,1,14,178
0.88,0.803,0.39,2,1,15,311
0.34,0.3333,0.71,1,3,16,76
0.34,0.3182,0.39,1,1,14,117
0.64,0.6061,0.69,3,1,5,36
0.18,0.1818,0.93,1,2,6,79
0.5,0.4848,0.36,4,1,16,481
0.36,0.3485,0.71,4,1,22,22
0.66,0.5909,0.89,2,2,5,21
0.32,0.3182,0.66,4,2,5,26
0.52,0.5,0.08,1,1,23,77
0.48,0.4697,0.94,2,1,5,26
0.52,0.5,0.36,4,1,10,275
0.54,0.5152,0.88,3,2,5,22
0.36,0.3788,0.71,4,1,21,157
0.42,0.4242,0.38,2,1,17,273
0.24,0.2121,0.32,2,1,4,3
0.7,0.6515,0.61,3,1,22,226
0.36,0.3636,0.87,4,2,9,190
0.72,0.697,0.79,3,1,0,35
0.42,0.4242,1.0,1,2,11,62
0.08,0.0909,0.53,1,1,7,6
0.54,0.5152,0.49,2,1,3,5
0.72,0.6667,0.51,2,1,10,95
0.58,0.5455,0.46,3,1,6,200
0.56,0.5303,0.88,2,1,3,14
0.3,0.2879,0.81,1,1,5,7
0.52,0.5,0.83,4,2,14,92
0.7,0.6364,0.28,3,1,17,970
